"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Odds";"Global";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global"
"Cameroon";"CMR";"Elite Two";"15-06-2026 09:00";"NS";"Kumba City";"";"";"Les Astres";"";"";"";"";"";"52";"2.6";"1.5";"2";"44";"48";"84";"66";"";"";"0.6";"";"";"";"";"";"50";"43";"25";"14";"25";"43";"38";"";"";"86";"50";"86";"38";"7";"8";"1.3";"1.4";"0.6";"1.1";"2.2";"0.8";"0.2";"0.3";"0.6";"1";"2.4";"94";"66";"40";"79";"43";"38";"94";"78";"100";"57";"75";"86";"75";""
"Cameroon";"CMR";"Elite Two";"15-06-2026 11:00";"NS";"Avion Academy";"";"";"Atlantic";"";"";"";"";"";"28";"2.3";"2.1";"2";"44";"44";"100";"74";"";"";"0.2";"";"";"";"";"";"33";"71";"29";"14";"29";"29";"43";"";"";"76";"71";"71";"71";"7";"7";"1.3";"1.3";"0.3";"0.9";"1.8";"0.4";"0.7";"0";"0";"0.6";"2.4";"100";"36";"28";"43";"14";"43";"86";"86";"100";"29";"71";"86";"71";""
"Cameroon";"CMR";"Elite Two";"15-06-2026 11:00";"NS";"Union Abong-Mbang";"";"";"APEJES Academy";"";"";"";"";"";"27";"2.3";"1.8";"2";"48";"65";"100";"84";"";"";"";"";"";"";"";"";"100";"57";"50";"29";"38";"43";"38";"";"";"76";"58";"71";"50";"7";"8";"1.4";"1.9";"0.4";"0.6";"2.2";"0.7";"0.5";"0";"0.4";"0.8";"2.4";"87";"59";"40";"62";"43";"50";"87";"86";"100";"43";"50";"71";"62";""
"Cameroon";"CMR";"Elite Two";"15-06-2026 21:00";"NS";"Sable Batie";"";"";"Ngok Etunja";"";"";"";"";"";"50";"2.4";"0.2";"3";"71";"20";"77";"21";"";"";"0.6";"";"";"";"";"";"50";"38";"12";"12";"50";"50";"62";"";"";"79";"8";"75";"0";"8";"8";"2.1";"0.6";"0.8";"2.4";"3";"1";"0.5";"0.6";"1.5";"1.7";"2.4";"94";"82";"56";"80";"50";"12";"56";"48";"66";"62";"88";"88";"50";""
"Cameroon";"CMR";"Elite Two";"15-06-2026 21:00";"NS";"Yafoot";"";"";"Bamboutos";"";"";"";"";"";"31";"1.8";"1";"2";"41";"31";"77";"77";"";"";"1";"";"";"";"";"0";"67";"38";"50";"12";"62";"75";"50";"";"";"58";"33";"50";"25";"8";"8";"1.2";"0.9";"0.8";"0.8";"1.8";"0";"0.3";"0.1";"0.1";"0.2";"2.4";"88";"62";"32";"22";"38";"25";"100";"93";"100";"62";"50";"88";"38";""
"Cameroon";"CMR";"Elite Two";"15-06-2026 21:00";"NS";"Bafmeng United";"";"";"Tonnerre";"";"";"";"";"";"44";"2.1";"0.8";"2";"54";"34";"77";"56";"";"0.6";"";"";"";"";"";"50";"";"38";"25";"12";"38";"38";"50";"";"";"71";"25";"62";"25";"8";"8";"1.6";"1";"0.8";"1.4";"2.4";"0.4";"0.2";"0.4";"0.2";"0.6";"2.4";"100";"68";"44";"44";"38";"25";"75";"82";"100";"62";"75";"88";"62";""
"Cameroon";"CMR";"Elite Two";"15-06-2026 21:00";"NS";"FAP";"";"";"Union Douala";"";"";"";"";"";"47";"1.2";"0.4";"3";"41";"34";"66";"4";"";"0.6";"0.5";"8.3";"9";"17";"39";"75";"50";"40";"11";"30";"56";"40";"56";"";"";"40";"15";"30";"11";"10";"9";"1.2";"1";"1.1";"2.9";"3.1";"0.5";"0.2";"0.3";"1.1";"1";"2.4";"84";"69";"59";"50";"30";"22";"62";"60";"88";"60";"89";"70";"44";""
"Estonia";"EST";"Esiliiga A";"15-06-2026 13:00";"NS";"Nõmme Kalju U21";"";"";"Nõmme United II";"";"";"";"";"";"72";"1.1";"1.6";"4";"34";"78";"32";"35";"";"0.6";"0.6";"9.9";"5.5";"44";"50";"43";"14";"29";"14";"29";"0";"57";"29";"";"";"38";"52";"29";"43";"7";"7";"1";"2.3";"2.1";"2";"3.7";"0.6";"0.4";"0.9";"0.7";"1.2";"3.7";"93";"78";"72";"64";"14";"71";"36";"57";"78";"71";"86";"71";"100";""
"Estonia";"EST";"Esiliiga B";"15-06-2026 13:00";"NS";"Vaprus II";"";"";"FCI Tallinn";"";"";"";"";"";"65";"2.6";"1.4";"5";"100";"88";"70";"49";"";"0.5";"0.6";"4";"7";"58";"51";"80";"86";"20";"38";"0";"12";"40";"50";"";"";"87";"46";"80";"38";"5";"8";"4";"2.6";"1";"1.6";"4.6";"2.6";"1.2";"0.2";"0.9";"2.4";"4.5";"100";"100";"71";"90";"80";"62";"35";"35";"51";"80";"62";"100";"88";""
"Ethiopia";"ETH";"Premier League";"15-06-2026 07:00";"NS";"Negele Arsi Ketema";"";"";"Awassa Kenema";"";"";"1.51";"2.39";"3.06";"35";"1.4";"0.7";"2";"27";"24";"84";"66";"5";"0.8";"0.6";"7.2";"9.6";"34";"42";"40";"60";"50";"30";"40";"50";"50";"50";"";"";"47";"23";"30";"10";"10";"10";"0.8";"0.7";"0.6";"1.1";"1.6";"0.4";"0.5";"0.2";"0.6";"0.8";"1.8";"80";"50";"15";"50";"10";"20";"95";"70";"95";"50";"70";"60";"50";""
"Ethiopia";"ETH";"Premier League";"15-06-2026 09:00";"NS";"Arba Minch Kenema";"";"";"Shire Endaselassie";"";"";"";"2.79";"2.60";"40";"0.4";"0.6";"2";"31";"7";"35";"70";"5";"0.7";"0.7";"8.7";"21";"24";"26";"50";"30";"10";"40";"40";"80";"50";"40";"";"";"13";"20";"0";"0";"10";"10";"0.9";"0.2";"2";"1";"2";"0.3";"0.1";"1.5";"0.4";"1.2";"1.8";"75";"60";"30";"60";"30";"0";"75";"60";"85";"90";"60";"60";"20";""
"Ethiopia";"ETH";"Premier League";"15-06-2026 10:00";"NS";"Adama Kenema";"";"";"Ethiopia Nigd Bank";"";"";"";"2.42";"2.82";"45";"0.8";"1";"2";"37";"27";"60";"66";"5";"0.8";"0.8";"6.9";"6.6";"41";"40";"70";"60";"30";"40";"50";"40";"40";"60";"";"";"27";"33";"10";"20";"10";"10";"1.1";"0.8";"1.3";"1.1";"2.2";"0.4";"0.1";"0.6";"0.2";"0.6";"1.8";"75";"65";"45";"50";"30";"20";"80";"85";"100";"70";"60";"50";"60";""
"Ethiopia";"ETH";"Premier League";"15-06-2026 12:00";"NS";"Hadiya Hosaena";"";"";"Fasil Ketema";"";"";"";"2.54";"2.96";"55";"0.8";"1";"2";"27";"27";"63";"63";"5";"0.7";"0.8";"7.2";"7.9";"29";"37";"30";"44";"20";"40";"30";"40";"70";"50";"";"";"27";"33";"10";"20";"10";"10";"0.8";"0.8";"1.2";"1.2";"2";"0.2";"0.4";"0.6";"0.2";"0.7";"1.8";"80";"60";"35";"45";"10";"10";"80";"85";"90";"80";"60";"70";"60";""
"Finland";"FIN";"Ykkösliiga";"15-06-2026 12:30";"NS";"SJK Akatemia";"";"";"Haka";"";"";"1.19";"4.73";"1.60";"0";"0.8";"1.8";"1";"7";"27";"77";"100";"2";"0.6";"0.6";"36";"10.2";"36";"46";"20";"75";"40";"75";"80";"50";"80";"75";"";"";"27";"58";"20";"50";"5";"4";"0.2";"0.8";"0.8";"0.2";"1";"0.2";"0.2";"0.2";"0.2";"0.4";"2.2";"78";"22";"0";"45";"0";"25";"100";"100";"100";"60";"25";"20";"50";""
"Finland";"FIN";"Kolmonen - Western Group";"15-06-2026 13:00";"NS";"VIFK";"";"";"Sporting Kristina";"";"";"";"1.14";"12.00";"58";"2.6";"2.5";"4";"100";"85";"84";"70";"3";"1.2";"0.4";"6.5";"3.2";"56";"50";"100";"50";"60";"25";"20";"0";"80";"50";"";"";"87";"83";"80";"75";"5";"4";"4.8";"2.5";"0.6";"1";"4.4";"2.2";"1";"0.6";"0.5";"2.2";"3.8";"90";"90";"78";"90";"80";"100";"35";"35";"70";"40";"75";"80";"100";""
"Georgia";"GEO";"Liga 3";"15-06-2026 07:00";"NS";"FC Tbilisi";"";"";"Betlemi";"";"";"";"1.09";"23.00";"36";"2.4";"0.6";"2";"99";"20";"84";"32";"3";"0.7";"0.5";"4";"10.5";"42";"32";"80";"17";"43";"29";"0";"71";"43";"71";"";"";"81";"19";"71";"14";"7";"7";"2.9";"0.6";"0.6";"2.1";"3";"1.4";"0.1";"0.1";"1.3";"1.5";"2.7";"93";"78";"64";"71";"57";"14";"64";"57";"78";"57";"71";"100";"29";""
"Georgia";"GEO";"Liga 3";"15-06-2026 10:00";"NS";"Irao";"";"";"Didube 2014";"";"";"";"1.53";"4.75";"55";"2.1";"2.2";"3";"82";"61";"80";"52";"1";"0.8";"0.6";"4.2";"5";"55";"49";"67";"80";"43";"17";"14";"17";"43";"33";"";"";"71";"72";"71";"67";"7";"6";"2.4";"1.8";"0.7";"1.5";"3.2";"1";"0.5";"0.4";"0.3";"1.1";"2.7";"100";"93";"76";"68";"71";"67";"62";"70";"84";"57";"83";"86";"83";""
"Georgia";"GEO";"Liga 3";"15-06-2026 10:00";"NS";"Gonio";"";"";"Margveti";"";"";"";"1.48";"5.25";"43";"2.1";"0.9";"3";"54";"34";"80";"21";"1";"0.8";"0.5";"7.6";"6.7";"33";"37";"50";"40";"57";"14";"14";"29";"43";"57";"";"";"71";"29";"71";"29";"7";"7";"1.6";"1";"0.7";"2.4";"2.8";"0.7";"0.6";"0.1";"1.3";"1.4";"2.7";"100";"71";"57";"78";"43";"14";"64";"64";"86";"43";"86";"86";"71";""
"Georgia";"GEO";"Liga 3";"15-06-2026 10:00";"NS";"Guria";"";"";"Iveria";"";"";"";"1.32";"8.05";"28";"2.3";"1";"3";"100";"34";"100";"66";"1";"0.9";"0.6";"5.3";"9";"55";"31";"100";"40";"100";"43";"33";"29";"67";"29";"";"";"78";"33";"67";"14";"6";"7";"3.8";"1";"0";"1.1";"3";"1.8";"0.3";"0";"0.6";"1.4";"2.7";"69";"69";"48";"55";"67";"29";"60";"52";"76";"0";"57";"67";"71";""
"Georgia";"GEO";"Liga 3";"15-06-2026 10:30";"NS";"FC Iberia 1999 II";"";"";"Kolkheti Khobi";"";"";"";"1.38";"6.25";"43";"2.1";"1";"3";"58";"44";"100";"32";"1";"0.6";"0.6";"5.2";"5.6";"49";"37";"100";"33";"57";"14";"29";"43";"43";"57";"";"";"71";"33";"57";"29";"7";"7";"1.7";"1.3";"0.4";"2.1";"2.8";"0.7";"0.4";"0.4";"1";"1.2";"2.7";"86";"72";"57";"64";"43";"43";"64";"43";"93";"43";"86";"71";"57";""
"Georgia";"GEO";"Liga 3";"15-06-2026 11:00";"NS";"Dinamo Tbilisi II";"";"";"Gardabani";"";"";"";"1.47";"5.28";"50";"1";"0.9";"3";"31";"24";"66";"49";"1";"0.7";"0.5";"8.3";"7.1";"33";"44";"33";"20";"14";"29";"29";"57";"57";"43";"";"";"33";"29";"29";"14";"7";"7";"0.9";"0.7";"1.1";"1.6";"2.2";"0.1";"0.1";"0.4";"0.4";"0.6";"2.7";"86";"57";"43";"50";"14";"14";"86";"93";"100";"86";"71";"71";"43";""
"Georgia";"GEO";"Liga 3";"15-06-2026 11:00";"NS";"Lokomotivi Tbilisi";"";"";"FC Iberia 2010";"";"";"";"1.19";"12.50";"50";"1.1";"0";"3";"37";"14";"38";"2";"3";"0.7";"0.5";"8";"15";"48";"43";"60";"0";"29";"0";"0";"71";"57";"43";"";"";"38";"0";"29";"0";"7";"7";"1.1";"0.4";"1.9";"4.1";"3.8";"0.1";"0";"1";"1.9";"1.5";"2.7";"100";"86";"64";"64";"14";"14";"43";"64";"71";"71";"100";"100";"29";""
"Iran";"IRN";"Azadegan League";"15-06-2026 10:30";"NS";"Shahrdari Noshahr";"";"";"Navad Urmia";"";"";"";"1.78";"5.08";"15";"1.2";"0.1";"1";"17";"7";"80";"46";"1";"0.7";"0.4";"18.4";"25";"51";"20";"33";"17";"50";"10";"60";"80";"40";"60";"";"";"40";"3";"30";"0";"10";"10";"0.5";"0.2";"0.7";"1.7";"1.5";"0";"0.1";"0.4";"0.9";"0.7";"1.5";"85";"50";"20";"50";"10";"0";"100";"80";"100";"50";"90";"40";"20";""
"Iran";"IRN";"Azadegan League";"15-06-2026 10:45";"NS";"Mes Soongoun";"";"";"Nassaji Mazandaran";"";"";"";"8.00";"1.44";"35";"2";"1.6";"1";"31";"48";"100";"77";"2";"0.8";"0.6";"16";"5.2";"47";"55";"80";"67";"70";"40";"40";"20";"20";"40";"";"";"67";"53";"60";"40";"10";"10";"0.9";"1.4";"0.3";"0.8";"1.7";"0.3";"0.6";"0.2";"0.5";"0.8";"1.5";"80";"45";"30";"60";"20";"30";"95";"85";"95";"30";"60";"60";"80";""
"Iran";"IRN";"Azadegan League";"15-06-2026 11:30";"NS";"Ario Eslamshahr";"";"";"Naft Bandar Abbas";"";"";"";"2.22";"3.75";"35";"1.6";"1.1";"2";"24";"27";"100";"77";"5";"0.5";"0.5";"8.1";"5.9";"53";"43";"86";"50";"60";"40";"50";"30";"20";"60";"";"";"53";"37";"40";"20";"10";"10";"0.7";"0.8";"0.4";"0.8";"1.4";"0.3";"0.4";"0.2";"0.3";"0.6";"1.5";"75";"40";"15";"45";"10";"10";"95";"85";"100";"40";"60";"50";"70";""
"Iran";"IRN";"Azadegan League";"15-06-2026 11:30";"NS";"Mes Shahr-e Babak";"";"";"Be'sat Kermanshah";"";"";"";"";"";"30";"2.6";"0.7";"2";"48";"17";"100";"70";"";"0.7";"0.6";"4.2";"13.4";"53";"34";"86";"33";"70";"40";"10";"60";"50";"40";"";"";"87";"23";"80";"10";"10";"10";"1.4";"0.5";"0.3";"1";"1.6";"1";"0.1";"0";"0.3";"0.7";"1.5";"80";"45";"30";"60";"40";"10";"95";"90";"100";"30";"60";"90";"40";""
"Iran";"IRN";"Azadegan League";"15-06-2026 11:30";"NS";"Havadar";"";"";"Mes Kerman";"";"";"";"";"";"25";"1.5";"1.6";"2";"34";"27";"84";"100";"";"0.6";"0.4";"9";"3.4";"44";"37";"50";"33";"60";"70";"40";"40";"50";"40";"";"";"50";"53";"30";"40";"10";"10";"1";"0.8";"0.6";"0.4";"1.4";"0.6";"0.3";"0.2";"0.2";"0.6";"1.5";"70";"45";"15";"45";"40";"20";"90";"85";"95";"40";"30";"60";"60";""
"Iran";"IRN";"Azadegan League";"15-06-2026 11:30";"NS";"Fard Alborz";"";"";"Sanat Naft";"";"";"";"2.68";"2.80";"20";"1.5";"1.2";"2";"17";"20";"100";"80";"5";"5.4";"0.5";"9.6";"12.3";"42";"62";"43";"60";"70";"40";"50";"60";"60";"40";"";"";"50";"40";"30";"30";"10";"10";"0.5";"0.6";"0.4";"0.7";"1.1";"0.2";"0";"0.1";"0.4";"0.4";"1.5";"70";"35";"5";"30";"0";"20";"100";"95";"100";"30";"60";"50";"40";""
"Iran";"IRN";"Azadegan League";"15-06-2026 13:00";"NS";"Naft Gachsaran";"";"";"Niroye Zamini";"";"";"";"2.48";"2.97";"50";"1.8";"0.5";"2";"37";"20";"74";"60";"5";"";"0.4";"";"";"";"";"";"0";"30";"20";"30";"50";"80";"50";"";"";"60";"17";"50";"0";"10";"10";"1.1";"0.6";"0.9";"1.3";"2";"0.8";"0.2";"0.5";"0.8";"1.2";"1.5";"85";"65";"30";"70";"40";"10";"90";"65";"90";"70";"80";"70";"50";""
