"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora"
"United States";"USA";"NPSL";"25-06-2026 20:00";"NS";"DMV Elite";"";"";"District Elite";"";"";"6.3";"6";"6";"3.8";"11";"100";"71";"58";"58";"20.1";"9.7";"9";"13.3";"8.2";"10.5";"4.7";"5";"6.3";"5";"8.6";"0";"75";"33";"100";"10";"8.1";"6"
"United States";"USA";"WPSL";"25-06-2026 17:00";"NS";"Arlington Red W";"";"";"District Elite";"";"";"3";"";"4.2";"";"";"";"";"";"";"";"12.8";"";"13";"";"";"7";"";"6.8";"";"8.5";"25";"";"25";"";"";"";""
"United States";"USA";"WPSL";"25-06-2026 19:00";"NS";"WFC Charlotte W";"";"";"North Carolina II";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";""
"United States";"USA";"WPSL";"25-06-2026 19:30";"NS";"Valdosta";"";"";"Pensacola Academy W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";""
"United States";"USA";"WPSL";"25-06-2026 20:00";"NS";"Fever W";"";"";"Real Central NJ W";"";"";"2.2";"4";"5.5";"3.5";"7.6";"38";"12";"12";"12";"27.9";"8.2";"10";"17.5";"20";"14.1";"4";"6.5";"10.2";"7.5";"8.5";"0";"100";"0";"50";"9";"6.3";"7.7"
"United States";"USA";"WPSL";"25-06-2026 20:00";"NS";"Arlington VA W";"";"";"The St. James";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";""
"United States";"USA";"WPSL";"25-06-2026 20:00";"NS";"West Florida Flames W";"";"";"Kings Hammer Sun City W";"";"";"";"3.5";"";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"50";"";"";""
"United States";"USA";"WPSL";"25-06-2026 21:00";"NS";"SouthStar W";"";"";"Texas Lone Star";"";"";"2.5";"";"1.5";"";"";"";"";"";"";"";"16.5";"";"15";"";"";"10";"";"7";"";"8.5";"50";"";"100";"";"";"";""
"United States";"USA";"WPSL";"25-06-2026 21:00";"NS";"Aggies";"";"";"Colorado Elevation";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8.5";"";"";"";"";"";"";""
"United States";"USA";"WPSL";"25-06-2026 23:30";"NS";"Iron Rose W";"";"";"California Storm W";"";"";"3";"6.3";"4";"2.3";"7.8";"75";"29";"16";"0";"28.8";"13";"24";"14.2";"6.3";"12.9";"5.8";"11.3";"6.8";"2";"8.5";"25";"67";"25";"67";"8";"5";"7.5"
"United States";"USA";"USL W League";"25-06-2026 18:00";"POSTPONED";"Northern Virginia FC W";"";"";"Lancaster Inferno W";"";"";"3.7";"5";"3.3";"2";"7";"42";"16";"16";"0";"23.6";"13";"10";"10.3";"14";"12.2";"7.3";"4";"5.7";"7.5";"7.8";"33";"100";"33";"100";"8";"5";"4"
"United States";"USA";"USL W League";"25-06-2026 19:00";"NS";"Flatirons II W";"";"";"Utah United W";"";"";"";"3.5";"";"3";"";"";"";"";"";"";"";"6.3";"";"16.3";"";"";"3.3";"";"6.3";"7.8";"";"33";"";"50";"";"";""
"United States";"USA";"USL W League";"25-06-2026 19:00";"NS";"Brooke House W";"";"";"Brevard Riptide W";"";"";"4.6";"3";"2.6";"4.2";"7.2";"32";"10";"0";"0";"20.4";"13";"9";"8.6";"10.2";"8.8";"6";"3.8";"5.2";"2.8";"7.8";"40";"33";"80";"25";"7";"5.9";"5.3"
"United States";"USA";"USL W League";"25-06-2026 20:00";"NS";"Hudson Valley Crusaders W";"";"";"Hartford Athletic W";"";"";"2.7";"";"4.7";"";"";"";"";"";"";"";"13.7";"";"18.3";"";"";"5";"";"9.3";"";"7.8";"33";"";"33";"";"";"";""
"United States";"USA";"UWS";"25-06-2026 20:00";"NS";"Michigan Legends W";"";"";"Troy City W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";""
"United States";"USA";"UWS";"25-06-2026 21:00";"NS";"Berber City W";"";"";"Rockford Raptors II W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";""
"Yemen";"YEM";"Yemeni League";"25-06-2026 10:00";"NS";"Al Hilal FC Hudayda";"";"";"Al Yarmouk FC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";""
"Yemen";"YEM";"Yemeni League";"25-06-2026 10:00";"NS";"Fahman FC";"";"";"Shabab Al Bayda FC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";""
"Finland";"FIN";"Ykkönen Women";"25-06-2026 12:30";"NS";"KTP W";"";"";"Lahti W";"";"";"4.5";"2.4";"3.5";"6.2";"8.3";"55";"39";"29";"22";"19.8";"13";"4.8";"8.4";"13.4";"10.6";"6.1";"2.4";"4";"8.8";"9.1";"75";"40";"50";"0";"9";"8.1";"3.7"
"Faroe Islands";"FRO";"Meistaradeildin Women";"25-06-2026 21:00";"NS";"07 Vestur W";"";"";"B36 W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";""
"Faroe Islands";"FRO";"Meistaradeildin Women";"25-06-2026 21:00";"NS";"NSÍ W";"";"";"Klaksvik W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"8.6";"";"";"";"";"";"";""
"Iceland";"ISL";"2. Deild Women";"25-06-2026 16:15";"NS";"Fjölnir W";"";"";"Smári W";"";"";"6.5";"";"2.5";"";"";"";"";"";"";"";"27";"";"5.5";"";"";"15.5";"";"3";"";"7.4";"100";"";"100";"";"";"";""
"Lithuania";"LTU";"A Lyga Women";"25-06-2026 09:00";"NS";"Žalgiris W";"";"";"FK Žalgiris W";"";"";"3";"6";"3.2";"3";"7.6";"50";"16";"16";"16";"26.6";"17";"17.1";"10.8";"8.3";"12.6";"7.5";"9.1";"4.8";"3.7";"8.5";"40";"71";"33";"67";"8";"8.9";"11.4"
"Vietnam";"VIE";"Women's National League";"25-06-2026 06:00";"NS";"TKS Viet Nam W";"";"";"GT Thai Nguyen W";"";"";"2.9";"5.2";"4.3";"2.2";"7.3";"48";"37";"26";"21";"17.2";"5.9";"14.2";"7.8";"6.5";"8.7";"3.5";"6.8";"3.5";"3.6";"";"0";"78";"33";"70";"";"5.9";"7.9"
"Vietnam";"VIE";"Women's National League";"25-06-2026 06:00";"NS";"Hà Nội II W";"";"";"Ho Chi Minh City W";"";"";"1.5";"3.9";"4";"4.6";"7";"35";"30";"15";"10";"";"";"8.4";"";"7.6";"";"";"2.6";"";"2.5";"";"";"70";"50";"30";"";"";""
"World";"WOR";"Club Friendlies 3";"25-06-2026 12:00";"CANCELLED";"Karviná";"";"";"Prostějov";"";"";"4.5";"4.2";"6.1";"5.5";"10.1";"70";"65";"60";"40";"22";"13";"5.6";"14.2";"11.2";"8.2";"4.2";"2.3";"5.9";"4";"9";"30";"20";"40";"40";"10";"7";"5.6"
"World";"WOR";"Club Friendlies 3";"25-06-2026 21:00";"NS";"Seekirchen";"";"";"Salzburg";"";"";"5";"5.1";"3";"3.8";"8.4";"68";"58";"26";"16";"22";"10.4";"13.8";"8.8";"10.9";"9.2";"5.6";"4.2";"4.8";"3.8";"9";"80";"78";"60";"67";"8";"4.5";"6.9"
"World";"WOR";"Club Friendlies 3";"25-06-2026 21:00";"NS";"Chevremont";"";"";"Roda JC Kerkrade";"";"";"";"4.5";"";"7.5";"";"";"";"";"";"";"";"11.1";"";"16.5";"";"";"4.2";"";"6.2";"9";"";"30";"";"10";"";"";""
"World";"WOR";"Club Friendlies 3";"25-06-2026 21:00";"NS";"CSKA Moskva";"";"";"Rodina Moskva";"";"";"5.4";"5.1";"5.5";"4";"10";"75";"55";"45";"40";"18.7";"12.7";"6.3";"12.3";"6.1";"6";"3.9";"2.2";"4.1";"1.8";"9";"40";"67";"40";"40";"10";"6.1";"2"
"World";"WOR";"Club Friendlies 3";"25-06-2026 21:00";"NS";"Jablonec";"";"";"Vlašim";"";"";"5.6";"5.8";"4.7";"4.7";"10.4";"85";"80";"70";"60";"21.2";"11.3";"7.9";"13.2";"9.9";"8.1";"3.6";"3.3";"5.5";"3.8";"9";"40";"70";"40";"30";"10";"6.8";"5.6"
"World";"WOR";"Club Friendlies 3";"25-06-2026 21:00";"NS";"MTK";"";"";"Kazincbarcika";"";"";"4.4";"2.9";"5.7";"6.2";"9.6";"75";"65";"55";"35";"26.8";"13.4";"9.7";"14";"16.6";"9.4";"5";"3.9";"3.6";"6.4";"9";"40";"20";"40";"30";"9";"7";"6.5"
"World";"WOR";"Club Friendlies 3";"25-06-2026 21:00";"NS";"Ludogorets";"";"";"Etar";"";"";"6.1";"5.7";"3.7";"3.7";"9.6";"70";"60";"55";"35";"20.3";"12.8";"9.2";"10.3";"8.3";"7.7";"3.2";"4.1";"4.8";"3.3";"9";"40";"80";"70";"80";"10";"25.6";"6.6"
"World";"WOR";"Club Friendlies 3";"25-06-2026 21:00";"NS";"Baltika Kaliningrad";"";"";"Volga Ulyanovsk";"";"";"3.7";"4.3";"3.5";"5.3";"8.4";"65";"60";"30";"25";"18.4";"13.1";"7.7";"9.5";"6.6";"6.6";"4.1";"3.1";"3.3";"2.8";"9";"60";"33";"40";"40";"9";"7.3";"9"
"World";"WOR";"Club Friendlies 3";"25-06-2026 21:00";"NS";"Akron";"";"";"Baltika Kaliningrad";"";"";"3.5";"3.7";"4";"3.5";"7.4";"40";"40";"25";"15";"24.9";"12";"13.1";"15.2";"9.5";"8.5";"4.3";"4.1";"5.3";"3.3";"9";"40";"60";"40";"40";"8";"9.9";"7.3"
"World";"WOR";"Club Friendlies 3";"25-06-2026 21:00";"NS";"Botev Plovdiv";"";"";"Arda";"";"";"5.5";"4.5";"3.6";"3.8";"8.7";"50";"45";"35";"20";"20.5";"13.1";"9.9";"8.7";"9.2";"9.2";"6.8";"3.6";"3.6";"4.3";"9";"60";"40";"60";"60";"9";"6.2";"9"
"Brazil";"BRA";"Brasileiro U17";"25-06-2026 15:00";"NS";"Bahia U17";"";"";"Vitória U17";"";"";"3.7";"";"3.3";"";"";"";"";"";"";"";"7.7";"";"15.3";"";"";"3";"";"6.7";"";"";"";"";"67";"";"";"";""
