"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global"
"Australia";"AUS";"Northern NSW Reserve League";"24-06-2026 05:00";"POSTPONED";"Charlestown Azzurri Res.";"";"";"Cooks Hill United Res.";"";"";"";"";"42";"38";"68";"100";"";"51";"57";"1.2";"2.2";"61";"69";"8.6";"6.5";"8";"12";"75";"12";"30";"70";"30";"10";"40";"20";"40";"73";"60";"80";"70";"90";"70";"30";"0x0";"1x3";"33";"2";"3.1";"1.8";"1.9";"4.4";"50";"60";"8";"6";"10";"10";"17.2";"20.2";"13.5";"15.2";"21.4";"8.5";"10";"10.2";"14";"1.5";"1";"1";"1.4";"2.4";"2.6"
"Australia";"AUS";"Northern NSW State League 1 Reserves";"24-06-2026 05:00";"NS";"Lake Macquarie Res.";"";"";"West Wallsend Res.";"";"";"";"";"56";"4";"71";"100";"";"";"";"1.9";"1.6";"";"";"";"";"3";"33";"67";"0";"60";"50";"10";"10";"30";"40";"63";"53";"70";"60";"90";"90";"40";"50";"3x1";"1x2";"";"2.1";"3.1";"1.4";"2.9";"4.8";"";"";"6";"5";"10";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Australia";"AUS";"Western Australia State League 1 Reserves";"24-06-2026 08:00";"NS";"Quinns Res.";"";"";"Floreat Athena Res.";"";"";"1.66";"3.75";"56";"52";"100";"71";"1";"55";"44";"2";"1.5";"67";"42";"4.6";"4.8";"";"";"";"";"60";"50";"20";"0";"20";"50";"67";"50";"80";"50";"80";"100";"40";"50";"0x0";"0x1";"24.6";"3.3";"2.1";"1.4";"1.5";"4.2";"55";"51";"4";"7";"10";"10";"15.3";"10";"10.4";"13.5";"13.4";"5.4";"6.8";"8.6";"6";"1.3";"0.2";"1.5";"1.5";"2.3";"2.8"
"Australia";"AUS";"Northern NSW State League 1";"24-06-2026 07:00";"NS";"Weston Workers";"";"";"West Wallsend";"";"";"";"";"42";"63";"71";"78";"";"";"";"1.6";"1.5";"";"";"";"";"2";"100";"0";"0";"50";"40";"10";"30";"40";"30";"53";"50";"60";"70";"90";"70";"50";"60";"0x3";"0x0";"";"2.1";"2.3";"1.8";"1.2";"3.7";"";"";"3";"6";"10";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0"
"Bhutan";"BHU";"Bhutan Premier League";"24-06-2026 09:00";"NS";"Namlha";"";"";"Tensung";"";"";"";"";"56";"32";"71";"27";"";"41";"39";"1.8";"1";"52";"52";"5.4";"11.5";"4";"0";"75";"25";"50";"30";"30";"10";"20";"60";"60";"33";"80";"40";"70";"90";"50";"70";"1x1";"3x0";"26";"2.1";"0.8";"1.4";"2.1";"3.2";"48";"44";"4";"9";"10";"10";"9.7";"9.2";"14.7";"18.7";"7";"3.7";"5.3";"3.5";"1.3";"2.3";"2.3";"1.2";"1";"3.4";"3.4"
"Brazil";"BRA";"Mineiro 2";"24-06-2026 15:00";"NS";"Coimbra";"";"";"Aymorés";"";"";"";"";"77";"84";"78";"34";"";"68";"64";"2.1";"1.3";"75";"60";"6.7";"10.1";"";"";"";"";"60";"30";"30";"40";"10";"30";"70";"43";"90";"70";"70";"60";"40";"70";"1x1";"0x0";"22.2";"2.3";"1";"0.8";"0.6";"2.4";"60";"47";"1";"2";"10";"10";"15.3";"12.3";"6.7";"10.1";"7.6";"2.3";"3";"6";"3.8";"2.2";"2.2";"2.7";"2.2";"4.6";"4.6"
"Brazil";"BRA";"Mineiro 2";"24-06-2026 16:30";"NS";"Democrata SL";"";"";"Villa Nova";"";"";"";"";"77";"35";"37";"34";"";"48";"";"1.3";"0.8";"44";"";"9.1";"9.7";"5";"0";"80";"20";"30";"20";"40";"20";"30";"60";"43";"27";"70";"40";"60";"80";"70";"80";"1x1";"2x0";"24.3";"1.1";"1";"0.8";"2";"2.4";"47";"45";"1";"2";"10";"10";"10";"12";"9.6";"17";"9.1";"3.1";"7.4";"3.4";"4.1";"2.9";"2";"3.7";"2";"5.3";"4.6"
"Brazil";"BRA";"Mineiro 2";"24-06-2026 21:30";"NS";"CAP Patrocinense";"";"";"Boa";"";"";"";"";"63";"88";"27";"51";"";"46";"52";"0.9";"2.1";"51";"55";"11.5";"7.1";"6";"17";"83";"0";"20";"60";"30";"30";"50";"10";"30";"70";"50";"90";"70";"70";"80";"40";"1x1";"0x1";"20.8";"0.8";"1.5";"1.2";"0.5";"2";"49";"50";"1";"2";"10";"10";"9.2";"10.7";"12.8";"8.8";"8.6";"5.4";"3";"4.5";"4.2";"2.6";"2.5";"2.2";"2.7";"5.1";"4.6"
"Brazil";"BRA";"Brasileiro U20";"24-06-2026 11:00";"NS";"Avaí U20";"";"";"Atletico-PR U20";"";"";"";"";"56";"70";"44";"61";"";"45";"54";"1.6";"1.9";"51";"53";"8.2";"5.7";"";"";"";"";"40";"60";"40";"10";"20";"30";"53";"63";"80";"70";"60";"90";"60";"40";"1x0";"0x1";"22.6";"1.3";"1.8";"1.4";"1";"2.8";"47";"57";"15";"7";"10";"10";"10.7";"10.3";"15.3";"8.9";"9";"4.7";"4.1";"4.5";"4.6";"2.3";"2.3";"2.6";"2.4";"4.8";"5.4"
"Brazil";"BRA";"Catarinense 2";"24-06-2026 15:00";"NS";"Blumenau";"";"";"Caravaggio";"";"";"";"";"77";"70";"82";"88";"";"50";"48";"2.1";"2.1";"55";"54";"3.8";"4.4";"6";"67";"17";"17";"70";"60";"0";"30";"30";"10";"70";"70";"70";"90";"100";"70";"30";"40";"0x1";"2x2";"21.7";"2.4";"2.6";"0.8";"1";"3.4";"51";"48";"";"";"10";"10";"9.1";"11.4";"10.4";"12.4";"8";"3.4";"3.6";"4.2";"4.6";"3.2";"2.4";"3.1";"2.5";"5.6";"5.9"
