"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global"
"Czech Republic";"CZE";"3. Liga MSFL";"11-06-2026 12:30";"FT";"Vítkovice";"5";"1";"Slovácko II";"1";"1";"";"";"";"35";"5";"20";"20";"45";"95";"56";"30";"44";"70";"0.3";"0.2";"19.7";"9.9";"9.3";"8.9";"11.3";"8.6";"4";"4.5";"3.7";"5.1";"2.7";"2.6";"2";"2.3";"4.8";"5.3";"4.9";"4.1";"4.4";"9.4"
"Czech Republic";"CZE";"U19 League";"11-06-2026 07:00";"FT";"Jihlava U19";"0";"2";"Karvina U19";"0";"0";"";"";"";"50";"35";"20";"30";"35";"65";"50";"50";"50";"50";"0.5";"0.1";"21.4";"8.4";"10.7";"10.8";"13";"9.9";"3.8";"4.6";"5.8";"5.6";"2.3";"2.2";"1.8";"1.7";"4";"4.5";"5.3";"3.9";"4.7";"9.2"
"Czech Republic";"CZE";"U19 League";"11-06-2026 08:00";"FT";"Sparta Praha U19";"3";"1";"Sigma Olomouc U19";"1";"1";"";"";"";"65";"50";"50";"30";"25";"50";"80";"30";"20";"60";"0.2";"0.2";"20.5";"12.2";"10.3";"9.2";"9.2";"10.8";"6.4";"5.8";"4.8";"4.7";"2.5";"1.9";"2.7";"2.6";"4.8";"4.8";"4.2";"6.1";"4.8";"10"
"Estonia";"EST";"Esiliiga A";"11-06-2026 13:00";"FT";"Elva";"4";"3";"Maardu";"1";"3";"";"";"";"57";"43";"29";"0";"36";"57";"71";"14";"29";"71";"0";"0.1";"23.1";"10.7";"12.3";"9.6";"13.6";"9.4";"4.3";"4.1";"4";"6.3";"1.9";"1.7";"1.7";"1.1";"3.2";"4.9";"5.3";"4.1";"4.3";"9.3"
"Estonia";"EST";"U19 League";"11-06-2026 11:00";"FT";"FC Tallinn U19 II";"0";"6";"Flora U19";"0";"3";"";"";"";"";"";"";"0";"";"";"";"0";"";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Finland";"FIN";"Kakkonen";"11-06-2026 13:00";"FT";"PPJ";"3";"3";"Atlantis";"3";"2";"";"";"";"38";"38";"25";"25";"50";"62";"50";"0";"25";"100";"0";"0";"20";"7";"13";"6";"14";"9.5";"4.2";"5";"2.8";"7";"2";"3.3";"2.8";"2.7";"5.4";"4";"7";"3.5";"6.7";"10.6"
"Finland";"FIN";"Kolmonen - Eastern Group";"11-06-2026 13:00";"FT";"Yllätys";"0";"1";"ToU";"0";"1";"";"";"";"68";"58";"50";"0";"10";"42";"50";"25";"50";"75";"0.5";"0";"";"";"6.5";"";"9";"";"";"2.5";"";"3";"";"";"";"";"";"";"";"";"";""
"Finland";"FIN";"Kolmonen - Eastern Group";"11-06-2026 13:00";"FT";"STPS";"2";"2";"IPS Edustus";"2";"1";"";"";"";"16";"16";"33";"0";"66";"84";"";"100";"";"0";"";"0";"";"";"10.5";"";"10.5";"";"";"5";"";"4.5";"";"2.5";"";"1.5";"";"";"5.5";"";"3";""
"Finland";"FIN";"Kolmonen - Eastern Group";"11-06-2026 13:00";"FT";"LAUTP / 2";"0";"1";"KJP";"0";"0";"";"";"";"50";"16";"0";"33";"50";"84";"";"50";"";"50";"";"0.5";"";"";"15";"";"19.5";"";"";"5.5";"";"6";"";"3";"";"2.5";"";"";"8";"";"6.5";""
"Finland";"FIN";"Kolmonen - Eastern Group";"11-06-2026 13:30";"FT";"KuPS Akatemia II";"2";"3";"Zulimanit";"1";"1";"";"";"";"54";"25";"50";"0";"16";"75";"50";"33";"50";"67";"0.2";"0";"";"18.5";"";"8.2";"";"";"8.8";"";"3.8";"";"1.5";"";"4";"";"";"3.8";"";"8.2";"";""
"Finland";"FIN";"Kolmonen - Western Group";"11-06-2026 12:15";"FT";"JyTy Turku";"0";"1";"PiPS";"0";"0";"";"";"";"66";"16";"0";"0";"0";"84";"67";"67";"33";"33";"0.3";"0.7";"22.2";"7.7";"8";"18.3";"10.3";"9.8";"4";"2.7";"8";"5";"3.7";"2.3";"2.7";"2";"5.3";"9";"5.3";"4.3";"4.7";"11.6"
"Finland";"FIN";"Kolmonen - Western Group";"11-06-2026 13:00";"FT";"TP-T";"3";"1";"Ylöjärvi United";"1";"0";"";"";"";"62";"12";"0";"0";"25";"88";"50";"50";"50";"50";"0.5";"0";"25.2";"8.8";"13.5";"14.2";"14";"13.1";"4.5";"6.5";"7.8";"7.5";"4";"2";"1.8";"3.5";"5.6";"7.5";"5";"2.8";"7.5";"11.4"
"Finland";"FIN";"Kolmonen - Western Group";"11-06-2026 13:00";"FT";"LBK";"0";"5";"VIFK";"0";"2";"";"";"";"38";"25";"0";"0";"25";"75";"25";"50";"75";"50";"0";"0";"16.5";"11.8";"4.5";"11.8";"5";"8.5";"4.2";"2.5";"8.2";"2";"4.2";"1.5";"1.8";"0.5";"4";"5.5";"2.5";"5.2";"1";"7.2"
"Finland";"FIN";"Kolmonen - Western Group";"11-06-2026 13:00";"FT";"SIF";"0";"3";"Virkiä";"0";"2";"";"";"";"16";"0";"0";"0";"58";"100";"67";"";"33";"";"0.3";"";"";"7.3";"";"4";"";"";"3.3";"";"2.3";"";"0.3";"";"2.3";"";"";"0.7";"";"4.3";"";""
"Finland";"FIN";"Kolmonen - Western Group";"11-06-2026 13:30";"FT";"SJK-j";"2";"2";"Ylivieska";"0";"1";"";"";"";"66";"66";"33";"67";"34";"34";"67";"50";"33";"50";"0.7";"1";"20.8";"21.7";"9";"5";"6";"9.6";"8.7";"5";"1.7";"4";"1";"2.5";"3.7";"3.5";"5.4";"2.3";"3";"9.7";"5.5";"10.2"
"Finland";"FIN";"Kolmonen - Western Group";"11-06-2026 14:00";"FT";"Fish United";"0";"3";"Haka Juniorit";"0";"0";"";"";"";"75";"38";"0";"25";"12";"62";"25";"50";"75";"50";"0";"0.2";"26.5";"9.8";"10";"14.2";"19";"12.4";"4.8";"5.8";"5.8";"8.5";"3.2";"4";"1.5";"2.2";"5.5";"5.8";"10.8";"3.8";"4.2";"12.2"
"Finland";"FIN";"Kolmonen - Western Group";"11-06-2026 15:00";"FT";"VPV";"1";"1";"Nykarleby IK";"0";"1";"";"";"";"50";"50";"0";"0";"25";"50";"50";"0";"50";"100";"0.5";"0";"17.2";"6.5";"5";"8.5";"14.5";"7.5";"2.5";"1";"3";"8.5";"1";"4.5";"2";"0.5";"4";"2.5";"6";"4.5";"1.5";"7.2"
"Finland";"FIN";"Kolmonen - Southern Group";"11-06-2026 13:45";"FT";"TiPS / 2";"0";"4";"JäPS II";"0";"3";"";"";"";"62";"29";"0";"33";"25";"71";"75";"100";"25";"0";"0.2";"1.3";"23.5";"10";"15.3";"14.3";"7.3";"11.2";"5";"8";"4.7";"4.7";"1.7";"1";"2.7";"4.3";"4.8";"5.7";"2.3";"5.7";"7.7";"10.6"
"Finland";"FIN";"Kolmonen - Southern Group";"11-06-2026 14:15";"FT";"HPS II";"2";"2";"Töölön Taisto";"2";"0";"";"";"";"74";"30";"40";"0";"16";"70";"60";"33";"40";"67";"0.6";"0.3";"22.2";"15.8";"6";"12.2";"10.3";"11.1";"7.8";"2";"6.8";"5.7";"3.5";"2";"3.2";"2";"5.4";"5.5";"4";"7.2";"4";"10.4"
"Gambia";"GAM";"GFF First Division";"11-06-2026 13:30";"FT";"Dutch Lions";"3";"4";"TMT";"1";"4";"";"";"";"15";"5";"20";"0";"75";"95";"40";"20";"30";"50";"0.2";"0.1";"21.2";"8.4";"11.3";"11.7";"11";"5.2";"2.3";"2.2";"2.9";"3.2";"1.5";"1.3";"0.9";"1.5";"2.6";"6.1";"5";"4.5";"6";"10.8"
"Gambia";"GAM";"GFF First Division";"11-06-2026 13:30";"FT";"Brikama United";"3";"0";"Greater Tomorrow";"1";"0";"";"";"";"10";"5";"10";"10";"65";"95";"60";"30";"20";"30";"0.1";"0";"20.4";"9.2";"9.3";"9.8";"12.3";"4";"1.7";"2.5";"1.2";"2.5";"0.1";"1.3";"0.4";"0.7";"1.2";"2.7";"5";"4.2";"4.3";"8.1"
