"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global"
"Colombia";"COL";"Liga BetPlay";"08-06-2026 19:00";"FT";"Atlético Nacional";"1";"0";"Junior FC";"0";"0";"";"";"";"20";"15";"50";"20";"45";"85";"80";"70";"10";"30";"0.3";"0.2";"29";"19.4";"10.2";"12.1";"16.3";"9.4";"7.9";"3.7";"2.7";"4.6";"1.2";"2.4";"3.8";"2.3";"4.8";"5.4";"8.1";"10.5";"5";"14.5"
"Egypt";"EGY";"League Cup";"08-06-2026 11:00";"FT";"ZED FC";"0";"2";"Wadi Degla";"0";"0";"";"";"";"10";"0";"0";"20";"50";"100";"80";"60";"0";"20";"0";"0.2";"16.2";"6.4";"10.8";"8.2";"7";"6.2";"3.6";"4";"2.6";"2.2";"0.8";"1.2";"2.4";"1.6";"3";"2.8";"4";"3.4";"4.4";"7.3"
"Egypt";"EGY";"League Cup";"08-06-2026 14:30";"FT";"ENPPI";"0";"3";"Al Masry";"0";"1";"";"";"";"0";"0";"0";"0";"90";"100";"20";"60";"40";"20";"0.2";"0.2";"17.9";"8.4";"13.4";"6.8";"7.2";"5.8";"2.8";"4.2";"2.2";"2.4";"1.4";"1";"0.6";"2";"2.5";"4";"2.4";"2.2";"5.6";"7.1"
"Estonia";"EST";"Small Cup";"08-06-2026 13:00";"FT";"Vändra";"6";"1";"Pelgu City";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Estonia";"EST";"Small Cup";"08-06-2026 13:30";"AWARDED";"FC Kohvile";"";"";"Raasiku Joker";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Finland";"FIN";"Ykkösliiga";"08-06-2026 12:30";"FT";"KTP";"0";"2";"Haka";"0";"1";"";"";"";"0";"0";"0";"0";"84";"100";"67";"33";"33";"33";"0";"0";"18.4";"13.7";"9.3";"5";"8.7";"6.8";"6";"4";"1.3";"2.3";"0.3";"1.7";"2.7";"1";"2.8";"3";"5.7";"6.3";"2.3";"8.6"
"Finland";"FIN";"Kakkonen";"08-06-2026 13:00";"FT";"Kiffen";"2";"0";"PuiU Helsinki";"2";"0";"";"";"";"88";"29";"67";"25";"12";"71";"67";"0";"33";"75";"0.3";"0";"24.4";"13.7";"6.8";"17.7";"10.8";"11.4";"5";"2.8";"7.7";"7.5";"3.3";"5.5";"2";"1.2";"6";"8.3";"6.5";"6.7";"3";"12.2"
"Iceland";"ISL";"U19 League C";"08-06-2026 15:00";"FT";"Breiða / Augna U19 II";"5";"0";"Valur / KH / Fálkar U19";"";"";"";"";"";"";"";"100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Lithuania";"LTU";"1. Lyga";"08-06-2026 13:00";"FT";"Dainava";"1";"0";"Garliava";"0";"0";"";"";"";"12";"12";"50";"20";"42";"88";"75";"40";"25";"60";"0.2";"0.2";"18.4";"15";"8.6";"5.2";"8";"8";"8.2";"2.6";"1.8";"3.4";"1";"0.8";"3";"0.6";"2.7";"3.2";"3.4";"6";"4.6";"8.6"
"Paraguay";"PAR";"Division Intermedia";"08-06-2026 17:00";"FT";"Encarnación";"2";"3";"Sol de América";"0";"1";"";"";"";"62";"25";"0";"25";"38";"75";"25";"25";"75";"75";"0";"0";"21.3";"13";"9";"10.8";"9.8";"10.2";"7";"3.5";"5.5";"4.2";"2.2";"2.5";"2.5";"2.2";"4.8";"5.2";"5.5";"5";"5.2";"10.5"
