"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Odds";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora"
"Argentina";"ARG";"Reserve League";"08-06-2026 15:00";"FT";"Gimnasia Esgrima Res.";"0";"2";"Godoy Cruz Res.";"0";"0";"1.56";"5.26";"";"9";"1";"88";"42";"34";"34";"40";"40";"40";"40";"7";"29";"43";"40";"20";"50";"20";"10";"10";"4.5";"4.7";"4.7";"4.9";"9.4";"1.7";"1.7";"1.9";"1.9";"2.8";"3";"2.8";"3";"3.6";"5.8";"9.1";"70";"60";"60";"25";"70";"85";"65";"85";"40";"40";"30";"60";"60";"30";"40";"40";"0.2";"0.4";"20.2";"9.3";"8.9";"10.6";"11.6"
"Argentina";"ARG";"Reserve League";"08-06-2026 15:00";"FT";"Racing Club Res.";"1";"2";"Banfield Res.";"1";"1";"1.85";"3.73";"";"9";"1";"66";"74";"37";"34";"50";"50";"50";"70";"10";"20";"40";"40";"50";"53";"57";"10";"10";"4.3";"5.3";"4.2";"3.9";"8.8";"2.3";"3";"1.8";"1.1";"2";"2.3";"2.4";"2.8";"4.1";"4.8";"9.1";"70";"50";"40";"40";"55";"85";"70";"70";"50";"60";"50";"70";"60";"70";"40";"60";"0.1";"0.6";"16.5";"7.7";"7.4";"9.2";"8.7"
"Australia";"AUS";"Victoria Premier League 2";"08-06-2026 07:15";"FT";"Melbourne Victory II";"4";"0";"Brunswick Juventus";"2";"0";"2.15";"2.62";"";"11";"5";"52";"66";"78";"44";"33";"40";"67";"50";"";"";"";"50";"40";"57";"50";"10";"10";"7.1";"5.1";"4.8";"5.4";"11.2";"2.7";"1.3";"2.4";"2.6";"4.4";"3.3";"2.3";"2.6";"4.5";"6.4";"10.4";"84";"79";"58";"53";"74";"64";"58";"73";"56";"30";"44";"20";"56";"40";"56";"30";"0.3";"0.2";"20.2";"15";"10.6";"7.3";"7.6"
"Australia";"AUS";"FFA Cup Qualifying";"08-06-2026 02:00";"FT_PEN";"Kingborough Lions";"1";"1";"Devonport City";"0";"0";"";"";"";"10";"";"80";"77";"100";"95";"57";"57";"57";"43";"10";"50";"40";"80";"80";"83";"83";"10";"10";"6.4";"5.6";"3.7";"3.7";"9.7";"3";"3.9";"1.4";"1.6";"3.4";"1.7";"2.3";"2.1";"4.9";"4.8";"11.2";"78";"64";"50";"43";"50";"78";"64";"71";"71";"71";"71";"86";"71";"71";"71";"57";"0.7";"1";"20.6";"17.4";"8.7";"8.7";"6.3"
"Brazil";"BRA";"Mineiro 2";"08-06-2026 19:30";"FT";"Mamoré";"0";"2";"Uberaba";"0";"0";"2.06";"3.52";"";"10";"5";"66";"74";"27";"44";"44";"56";"56";"33";"9";"33";"33";"20";"30";"30";"47";"10";"10";"5.1";"4.8";"4.9";"4.8";"9.8";"2";"2.1";"2.7";"2.7";"3.1";"2.7";"2.2";"2.1";"4.8";"5";"9.2";"78";"56";"50";"56";"67";"72";"67";"67";"56";"44";"44";"44";"67";"56";"33";"44";"0.2";"0.3";"26.2";"13.7";"13.4";"14.1";"11.2"
"Brazil";"BRA";"Copa Gaúcha";"08-06-2026 15:00";"FT";"Monsoon";"1";"1";"Santa Cruz RS";"1";"0";"2.20";"3.02";"";"8";"5";"56";"77";"34";"44";"50";"44";"40";"56";"";"";"";"10";"40";"30";"57";"10";"10";"3.3";"3.4";"4.2";"5.7";"8.3";"2.1";"1.3";"1.4";"2.6";"1.2";"2.1";"2.8";"3.1";"3.7";"4.6";"8.8";"58";"54";"37";"21";"48";"84";"74";"90";"50";"11";"50";"33";"50";"22";"30";"0";"0.2";"0.1";"22.1";"13.4";"8.8";"12.2";"9.8"
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"08-06-2026 10:00";"FT";"América RJ U20";"2";"0";"Artsul U20";"1";"0";"";"";"";"9";"";"60";"60";"68";"44";"71";"50";"43";"50";"2";"0";"50";"70";"30";"73";"40";"10";"10";"4";"3.5";"4.6";"4.8";"8.4";"1.6";"2.5";"2.1";"1.5";"2.4";"1";"2.4";"3.2";"3.8";"4.6";"9.5";"54";"54";"46";"34";"46";"60";"54";"80";"43";"25";"57";"75";"43";"50";"29";"25";"0.7";"1";"21";"10";"13";"10.3";"8.8"
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"08-06-2026 14:45";"FT";"Petrópolis U20";"2";"1";"Serrano U20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"50";"";"57";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"08-06-2026 14:45";"FT";"Americano U20";"2";"0";"7 de Abril U20";"";"";"";"";"";"";"";"32";"2";"20";"34";"";"";"";"";"";"";"";"10";"0";"10";"0";"10";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"08-06-2026 14:45";"FT";"São Gonçalo/Niterói U20";"3";"0";"Serra Macaense U20";"";"";"";"";"";"";"";"60";"32";"27";"31";"";"";"";"";"";"";"";"30";"10";"40";"20";"10";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9.5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
