"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Odds";"Odds";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global"
"Australia";"AUS";"Victoria Premier League 2";"08-06-2026 07:15";"FT";"Melbourne Victory II";"4";"0";"Brunswick Juventus";"2";"0";"2.15";"2.62";"";"";"57";"50";"10";"10";"7";"3";"53";"51";"20.2";"15";"10.6";"7.3";"7.6";"9.9";"1.4";"1.8";"2.4";"2.2";"4";"4";"1.4";"1.8";"2.3";"2.1";"3.8";"3.9";"0";"0";"0.1";"0.1";"0.1";"0.2";"79";"42";"37";"84";"63";"58";"21";"16"
"Australia";"AUS";"FFA Cup Qualifying";"08-06-2026 02:00";"FT_PEN";"Kingborough Lions";"1";"1";"Devonport City";"0";"0";"";"";"";"";"83";"83";"10";"10";"";"";"54";"56";"20.6";"17.4";"8.7";"8.7";"6.3";"10";"1.6";"1.7";"2.1";"1.9";"3.6";"6.6";"1.6";"1.6";"2";"1.9";"3.5";"6.4";"0";"0.1";"0.1";"0";"0.1";"0.2";"86";"50";"22";"78";"78";"50";"14";"22"
"Brazil";"BRA";"Mineiro 2";"08-06-2026 19:30";"FT";"Mamoré";"0";"2";"Uberaba";"0";"0";"2.06";"3.52";"";"";"30";"47";"10";"10";"1";"2";"51";"44";"26.2";"13.7";"13.4";"14.1";"11.2";"8.8";"2.6";"3.3";"2.4";"3";"5.6";"4.2";"2.2";"3.2";"2.2";"2.9";"5.2";"4";"0.3";"0.1";"0.2";"0.1";"0.4";"0.2";"89";"84";"72";"50";"28";"16";"11";"50"
"Brazil";"BRA";"Copa Gaúcha";"08-06-2026 15:00";"FT";"Monsoon";"1";"1";"Santa Cruz RS";"1";"0";"2.20";"3.02";"";"";"30";"57";"10";"10";"";"";"49";"48";"22.1";"13.4";"8.8";"12.2";"9.8";"7.8";"3.4";"2";"2.9";"2";"5.2";"5.4";"3.2";"2";"2.8";"1.9";"5";"5.1";"0.2";"0";"0.1";"0.1";"0.2";"0.3";"94";"84";"46";"54";"54";"16";"6";"46"
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"08-06-2026 10:00";"FT";"América RJ U20";"2";"0";"Artsul U20";"1";"0";"";"";"";"";"73";"40";"10";"10";"";"";"50";"50";"21";"10";"13";"10.3";"8.8";"7.6";"3.3";"2.8";"2.7";"2.2";"5.5";"7.5";"2.9";"2.8";"2.6";"2.2";"5.2";"7.5";"0.4";"0";"0.1";"0";"0.3";"0";"100";"100";"60";"66";"40";"0";"0";"34"
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"08-06-2026 14:45";"FT";"Petrópolis U20";"2";"1";"Serrano U20";"";"";"";"";"";"";"";"57";"";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"08-06-2026 14:45";"FT";"Americano U20";"2";"0";"7 de Abril U20";"";"";"";"";"";"";"10";"0";"10";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7.5";"";"";"";"";"";"7.5";"";"";"";"";"";"0";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"08-06-2026 14:45";"FT";"São Gonçalo/Niterói U20";"3";"0";"Serra Macaense U20";"";"";"";"";"";"";"40";"20";"10";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7.5";"";"";"";"";"";"7.5";"";"";"";"";"";"0";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"08-06-2026 14:45";"FT_PEN";"Pérolas Negras U20";"0";"0";"Paduano U20";"0";"0";"";"";"";"";"53";"44";"10";"3";"";"";"48";"";"";"6.3";"";"12";"";"";"3";"";"3.7";"";"";"7.5";"3";"";"3.7";"";"";"7.5";"0";"";"0";"";"";"0";"";"";"";"";"";"";"";""
"Canada";"CAN";"PCSL";"08-06-2026 23:00";"FT";"Blues";"3";"2";"AFA";"";"";"";"";"";"";"47";"33";"10";"10";"2";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"0";"";"";"";"";"";"0";"";"";"";"";"";"";"";""
