"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Odds";"Global";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global"
"Argentina";"ARG";"Primera C";"08-06-2026 15:30";"FT";"Berazategui";"2";"1";"Juventud Unida G.";"0";"1";"";"1.54";"5.63";"55";"1.5";"1.7";"3";"68";"37";"63";"66";"1";"0.8";"0.6";"5.8";"8.5";"48";"50";"83";"29";"33";"43";"17";"29";"50";"43";"";"";"50";"57";"33";"43";"6";"7";"2";"1.1";"1.2";"1.1";"2.8";"1";"0.6";"0.2";"0.4";"1.1";"2";"84";"70";"46";"60";"67";"29";"60";"69";"84";"67";"57";"83";"71";""
"Argentina";"ARG";"Primera B Metropolitana";"08-06-2026 15:30";"FT";"UAI Urquiza";"2";"1";"Liniers";"1";"1";"";"2.65";"2.93";"22";"0.9";"1.2";"2";"17";"24";"77";"66";"5";"0.6";"0.8";"13.8";"10";"30";"40";"75";"33";"50";"44";"75";"44";"38";"44";"";"";"29";"41";"12";"33";"8";"9";"0.5";"0.7";"0.8";"1.1";"1.5";"0.4";"0";"0.4";"0.4";"0.6";"1.9";"70";"41";"22";"41";"25";"11";"88";"88";"94";"50";"56";"25";"56";""
"Argentina";"ARG";"Reserve League";"08-06-2026 15:00";"FT";"Defensa y Justicia Res.";"2";"1";"Ferro Carril Reserves";"1";"1";"";"1.66";"4.29";"44";"1.9";"0.9";"3";"88";"17";"74";"52";"1";"0.8";"0.6";"4.3";"15.4";"62";"44";"62";"25";"38";"25";"0";"50";"38";"62";"";"";"62";"29";"50";"25";"8";"8";"2.6";"0.5";"0.9";"1.5";"2.8";"1.5";"0.1";"0.1";"0.6";"1.2";"2.5";"100";"81";"44";"81";"62";"0";"75";"75";"94";"62";"75";"100";"50";""
"Argentina";"ARG";"Reserve League";"08-06-2026 15:00";"FT";"Independiente Riva. Res.";"2";"0";"Quilmes Res.";"1";"0";"";"2.67";"2.50";"44";"1.2";"1.6";"2";"61";"27";"52";"84";"5";"1.1";"0.8";"6.1";"11.5";"38";"38";"75";"38";"12";"50";"12";"38";"38";"38";"";"";"42";"54";"38";"50";"8";"8";"1.8";"0.8";"1.5";"0.6";"2.3";"0.9";"0.5";"1";"0.4";"1.4";"2.5";"100";"63";"31";"88";"62";"12";"81";"69";"88";"88";"50";"88";"62";""
"Argentina";"ARG";"Reserve League";"08-06-2026 15:00";"FT";"Unión Santa Fe Res.";"2";"0";"Atlético Tucumán Res.";"2";"0";"";"2.02";"3.11";"62";"1.9";"1.9";"2";"61";"51";"63";"56";"5";"0.6";"0.5";"4.4";"6.2";"55";"49";"50";"25";"12";"25";"12";"25";"62";"75";"";"";"62";"62";"50";"62";"8";"8";"1.8";"1.5";"1.2";"1.4";"3";"0.6";"0.4";"0.6";"1";"1.3";"2.5";"100";"88";"68";"75";"62";"62";"69";"56";"88";"88";"75";"88";"75";""
"Argentina";"ARG";"Reserve League";"08-06-2026 15:00";"FT";"Gimnasia Esgrima Res.";"0";"2";"Godoy Cruz Res.";"0";"0";"";"1.56";"5.26";"62";"1.1";"0.1";"3";"34";"31";"70";"28";"1";"0.6";"0.6";"8.5";"9";"42";"32";"75";"12";"38";"0";"25";"25";"62";"38";"";"";"38";"4";"25";"0";"8";"8";"1";"0.9";"1";"2.2";"2.6";"0.4";"0.4";"0.5";"0.6";"1";"2.5";"94";"75";"44";"68";"25";"12";"75";"75";"100";"62";"100";"75";"75";""
"Argentina";"ARG";"Reserve League";"08-06-2026 15:00";"FT";"Racing Club Res.";"1";"2";"Banfield Res.";"1";"1";"";"1.85";"3.73";"44";"2";"0.9";"2";"51";"20";"77";"56";"1";"0.6";"0.5";"5.7";"9.2";"49";"40";"88";"25";"38";"25";"12";"62";"25";"75";"";"";"67";"29";"50";"25";"8";"8";"1.5";"0.6";"0.8";"1.4";"2.1";"0.8";"0.2";"0.2";"0.5";"0.9";"2.5";"88";"75";"25";"75";"38";"25";"88";"88";"100";"62";"75";"88";"38";""
"Australia";"AUS";"Victoria Premier League 2";"08-06-2026 07:15";"FT";"Melbourne Victory II";"4";"0";"Brunswick Juventus";"2";"0";"";"2.15";"2.62";"62";"2";"1.9";"4";"78";"61";"56";"63";"5";"0.8";"0.8";"6.4";"7.1";"52";"38";"71";"62";"14";"25";"0";"38";"43";"50";"";"";"67";"62";"57";"62";"7";"8";"2.3";"1.8";"1.4";"1.2";"3.4";"1";"0.8";"0.6";"0.8";"1.6";"3.2";"100";"88";"75";"74";"86";"62";"66";"59";"80";"86";"75";"100";"62";""
"Australia";"AUS";"FFA Cup Qualifying";"08-06-2026 02:00";"FT_PEN";"Kingborough Lions";"1";"1";"Devonport City";"0";"0";"";"";"";"62";"1.8";"1.5";"6";"100";"100";"52";"2";"";"";"";"";"";"";"";"";"";"50";"0";"25";"0";"25";"50";"";"";"58";"50";"50";"50";"4";"2";"3.5";"4";"1.5";"4";"6.5";"1";"";"2";"";"1.2";"5";"100";"100";"100";"";"75";"100";"0";"";"";"50";"100";"75";"100";""
"Brazil";"BRA";"Mineiro 2";"08-06-2026 19:30";"FT";"Mamoré";"0";"2";"Uberaba";"0";"0";"";"2.06";"3.52";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Copa Gaúcha";"08-06-2026 15:00";"FT";"Monsoon";"1";"1";"Santa Cruz RS";"1";"0";"";"2.20";"3.02";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"08-06-2026 10:00";"FT";"América RJ U20";"2";"0";"Artsul U20";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"08-06-2026 14:45";"FT";"Petrópolis U20";"2";"1";"Serrano U20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"08-06-2026 14:45";"FT";"Americano U20";"2";"0";"7 de Abril U20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"08-06-2026 14:45";"FT";"São Gonçalo/Niterói U20";"3";"0";"Serra Macaense U20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
